,country_name,country_code,region,income_level,gdp,edu_exp,literacy_rate,pupil_teacher_ratio,primary_enrollment,secondary_enrollment
76,Greece,GRC,Europe & Central Asia,High income,17980.73,3.66139,,9.64365,99.82911,103.3777
77,Grenada,GRD,Latin America & Caribbean ,Upper middle income,8694.124,4.2386103,,16.99747,104.21673,101.16279
78,Greenland,GRL,Europe & Central Asia,High income,44536.355,,,,,
79,Guatemala,GTM,Latin America & Caribbean ,Upper middle income,3893.5051,3.03033,80.19509,,104.09985,54.91805
80,Guam,GUM,East Asia & Pacific,High income,35165.703,,,,,
81,Guyana,GUY,Latin America & Caribbean ,High income,5640.4155,3.8957,,,91.10516,
82,"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,42432.16,3.26212,,13.66248,105.13152,107.43169
83,Honduras,HND,Latin America & Caribbean ,Lower middle income,2271.2026,6.41297,88.0,29.14566,89.88818,50.01977
84,Croatia,HRV,Europe & Central Asia,High income,12285.304,4.969085,,13.702,99.49077,102.98133
85,Haiti,HTI,Latin America & Caribbean ,Lower middle income,1411.1268,1.85498,,,,
86,Hungary,HUN,Europe & Central Asia,High income,12717.039,4.4954,,10.97863,100.82768,104.54648
87,Indonesia,IDN,East Asia & Pacific,Upper middle income,3288.2227,3.5836,95.0,,109.361984,88.78229
88,Isle of Man,IMN,Europe & Central Asia,High income,84753.516,,,,,
89,India,IND,South Asia,Lower middle income,1583.9982,4.1149917,,31.49146,112.93784,74.94833
90,Ireland,IRL,Europe & Central Asia,High income,64311.824,3.74869,,,101.18464,116.98987
91,"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,4952.7334,2.62911,,26.77414,109.02513,88.14298
92,Iraq,IRQ,Middle East & North Africa,Upper middle income,4440.142,,,,,
93,Iceland,ISL,Europe & Central Asia,High income,52951.68,7.45797,,10.14405,98.68622,119.80736
94,Israel,ISR,Middle East & North Africa,High income,36123.992,5.79766,,12.08838,97.75877,96.33895
95,Italy,ITA,Europe & Central Asia,High income,30387.129,4.07363,,12.02716,100.3719,101.22809
96,Jamaica,JAM,Latin America & Caribbean ,Upper middle income,5062.8955,5.45522,,21.97603,95.22532,87.49781
97,Jordan,JOR,Middle East & North Africa,Lower middle income,4042.7568,,,,,
98,Japan,JPN,East Asia & Pacific,High income,34960.64,3.31221,,16.17666,102.41911,102.20042
99,Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,10196.123,3.3379698,,16.2004,100.501236,102.35793
100,Kenya,KEN,Sub-Saharan Africa ,Lower middle income,1489.1196,4.9494514,,30.65055,105.45235,
101,Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1105.652,6.9676476,,26.19366,101.01912,90.06711
102,Cambodia,KHM,East Asia & Pacific,Lower middle income,1547.3201,1.7034615,81.0,45.52116,116.10563,
103,Kiribati,KIR,East Asia & Pacific,Lower middle income,1639.8528,12.114,,,104.85571,
104,St. Kitts and Nevis,KNA,Latin America & Caribbean ,High income,20328.8,2.54938,,15.09945,113.63825,113.48226
105,"Korea, Rep.",KOR,East Asia & Pacific,High income,28737.44,4.45424,,16.55424,100.06209,98.59319
106,Kuwait,KWT,Middle East & North Africa,High income,29882.213,,96.0,8.86229,101.93345,95.25442
107,Lao PDR,LAO,East Asia & Pacific,Lower middle income,2121.0134,2.736898,85.0,24.15685,114.178734,62.419247
108,Lebanon,LBN,Middle East & North Africa,Lower middle income,7714.11,,,,,
109,Liberia,LBR,Sub-Saharan Africa ,Low income,692.5901,2.1158748,,30.44637,90.182976,36.62308
110,Libya,LBY,Middle East & North Africa,Upper middle income,7458.4893,,,,,
111,St. Lucia,LCA,Latin America & Caribbean ,Upper middle income,10334.923,3.88088,,15.4614,95.74819,91.54832
112,Liechtenstein,LIE,Europe & Central Asia,High income,167187.16,,,7.84524,105.66542,116.12344
113,Sri Lanka,LKA,South Asia,Lower middle income,4060.1313,2.10998,,23.15243,97.529106,94.79276
114,Lesotho,LSO,Sub-Saharan Africa ,Lower middle income,1121.1985,7.6425023,,33.08664,108.821594,58.58947
115,Lithuania,LTU,Europe & Central Asia,High income,14300.255,4.22719,,12.86014,101.54234,102.15334
116,Luxembourg,LUX,Europe & Central Asia,High income,105462.016,3.76792,,8.45773,97.40225,104.37919
117,Latvia,LVA,Europe & Central Asia,High income,13321.976,5.28252,,11.13249,99.39332,112.35665
118,"Macao SAR, China",MAC,East Asia & Pacific,High income,70070.29,3.00247,,14.08362,99.80247,100.96644
119,St. Martin (French part),MAF,Latin America & Caribbean ,High income,,,,,,
120,Morocco,MAR,Middle East & North Africa,Lower middle income,3146.2478,5.133369,,25.88159,107.76275,
121,Monaco,MCO,Europe & Central Asia,High income,170437.1,,,12.63871,,
122,Moldova,MDA,Europe & Central Asia,Upper middle income,2749.5513,5.805687,,17.45665,105.722,105.05929
123,Madagascar,MDG,Sub-Saharan Africa ,Low income,445.32007,2.7041883,,41.1927,142.88914,37.90689
124,Maldives,MDV,South Asia,Upper middle income,9644.906,4.6223054,,10.34037,99.01309,
125,Mexico,MEX,Latin America & Caribbean ,Upper middle income,10021.238,5.05088,94.0,26.92701,106.96343,100.98227
126,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,3764.3442,,,,109.85728,88.45281
127,North Macedonia,MKD,Europe & Central Asia,Upper middle income,5262.6865,,,14.40654,96.88582,84.98363
128,Mali,MLI,Sub-Saharan Africa ,Low income,704.82166,3.80152,33.0,42.70695,72.14445,40.11573
129,Malta,MLT,Middle East & North Africa,High income,25481.898,5.02398,,13.49445,100.30551,95.15712
130,Myanmar,MMR,East Asia & Pacific,Lower middle income,1166.733,2.2456043,,,,
131,Montenegro,MNE,Europe & Central Asia,Upper middle income,6517.193,,,,101.20362,91.86341
132,Mongolia,MNG,East Asia & Pacific,Upper middle income,3838.9214,4.3871565,,28.222,98.00403,
133,Northern Mariana Islands,MNP,East Asia & Pacific,High income,17665.102,,,,,
134,Mozambique,MOZ,Sub-Saharan Africa ,Low income,610.5638,6.010834,56.0,54.66026,114.50957,34.76219
135,Mauritania,MRT,Sub-Saharan Africa ,Lower middle income,1554.949,2.829566,65.11202,35.81193,96.38195,31.06388
136,Mauritius,MUS,Sub-Saharan Africa ,Upper middle income,9507.871,4.75847,93.0,18.82093,97.32072,93.9682
137,Malawi,MWI,Sub-Saharan Africa ,Low income,539.60535,3.4444966,62.14354,69.50969,138.30826,40.23437
138,Malaysia,MYS,East Asia & Pacific,Upper middle income,9648.68,4.70381,,11.521,98.80011,84.55257
139,Namibia,NAM,Sub-Saharan Africa ,Upper middle income,4774.1064,9.850768,,,129.00056,
140,New Caledonia,NCL,East Asia & Pacific,High income,30858.725,,,,,
141,Niger,NER,Sub-Saharan Africa ,Low income,485.66257,4.48669,,36.6289,74.57255,20.89797
142,Nigeria,NGA,Sub-Saharan Africa ,Lower middle income,2585.7336,0.43695492,,,83.749825,45.60858
143,Nicaragua,NIC,Latin America & Caribbean ,Lower middle income,2074.4543,4.07843,82.61455,,107.67295,
144,Netherlands,NLD,Europe & Central Asia,High income,45793.812,5.34816,,11.62356,106.05942,114.13792
